Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,Hour,Day,Month,Season,Temp_Bins
2017-01-01 12:00:00,14.84667,57.07833,0.07567,478.85,40.20167,29889.62026,18187.84195,16853.01205,12,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 13:00:00,15.68,57.07167,0.07667,493.93333,41.76167,30231.89874,18378.1155,17298.31325,13,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 14:00:00,15.76667,55.63667,0.0765,451.41667,41.48333,29898.73418,18099.08814,16873.25301,14,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 15:00:00,15.55833,58.19167,0.07483,303.5,54.76667,29218.22785,17722.79635,16594.6988,15,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 16:00:00,15.47167,58.29167,0.076,217.51667,214.26667,28730.12658,17503.34347,16388.43373,16,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 17:00:00,15.14667,59.93333,0.0785,102.635,125.28,34423.29114,21094.83283,22275.66265,17,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 18:00:00,14.01333,65.27333,0.07733,4.80483,4.87483,39619.24051,24361.70213,25729.15663,18,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 19:00:00,11.81,70.20833,0.0775,0.06067,0.1,40318.98734,24692.40122,26186.0241,19,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 20:00:00,11.69,70.88333,0.07717,0.06217,0.09783,40371.64557,25406.07903,26493.49398,20,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 21:00:00,11.74833,70.82667,0.07533,0.0585,0.09633,38712.91139,24836.47416,25344.57831,21,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 22:00:00,12.79167,66.20667,0.07433,0.06483,0.117,34972.1519,23067.4772,22582.16867,22,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-01 23:00:00,11.71167,72.50667,0.075,0.06783,0.09967,30072.91139,20105.77508,19578.79518,23,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-02 00:00:00,10.66667,78.03333,0.07667,0.06583,0.1405,25303.29114,17007.90273,16884.81928,0,Monday,1,Winter,"(3.566, 10.821]"
2017-01-02 01:00:00,10.70333,78.91667,0.07617,0.07133,0.13867,22512.40506,14910.6383,15079.51807,1,Monday,1,Winter,"(3.566, 10.821]"
2017-01-02 02:00:00,11.03167,76.75,0.07783,0.0685,0.14767,20945.82278,13835.86626,14165.78313,2,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 03:00:00,10.56833,79.26667,0.0775,0.069,0.1435,20097.21519,13466.2614,13794.69879,3,Monday,1,Winter,"(3.566, 10.821]"
2017-01-02 04:00:00,10.25333,81.93333,0.07617,0.07633,0.13967,20066.83544,13248.63222,13604.81928,4,Monday,1,Winter,"(3.566, 10.821]"
2017-01-02 05:00:00,9.73,83.55,0.077,0.072,0.149,20838.48101,13910.6383,14052.04819,5,Monday,1,Winter,"(3.566, 10.821]"
2017-01-02 06:00:00,9.33667,84.65,0.076,0.0565,0.138,23307.34177,15348.32827,14654.45783,6,Monday,1,Winter,"(3.566, 10.821]"
2017-01-02 07:00:00,9.54333,84.9,0.07733,0.07583,0.13583,22895.18987,15709.42249,12863.61446,7,Monday,1,Winter,"(3.566, 10.821]"
2017-01-02 08:00:00,8.87333,83.91667,0.08183,10.45367,6.917,24368.6076,16416.41337,11957.59036,8,Monday,1,Winter,"(3.566, 10.821]"
2017-01-02 09:00:00,9.48833,86.11667,0.07983,128.585,31.36,24505.31645,18190.88146,13539.27711,9,Monday,1,Winter,"(3.566, 10.821]"
2017-01-02 10:00:00,12.865,74.43667,0.07667,278.46667,41.51833,26384.81013,19947.11246,15385.06024,10,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 11:00:00,15.05,58.00833,0.07617,402.55,41.35333,28224.81013,20830.39514,16511.80723,11,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 12:00:00,15.16833,58.125,0.076,471.08333,43.23667,29581.77215,19950.75988,18199.51807,12,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 13:00:00,15.30667,59.30833,0.07633,484.0,44.005,29485.56962,19572.03647,18946.50602,13,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 14:00:00,15.56333,55.98667,0.07567,444.96667,42.28833,28611.64557,20161.70213,18274.6988,14,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 15:00:00,15.475,57.26333,0.0755,353.01667,64.53333,28971.13924,21335.56231,16510.84337,15,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 16:00:00,15.23833,60.76333,0.076,225.56667,225.23333,29996.96203,20641.33739,16346.98795,16,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 17:00:00,14.96667,61.64167,0.07733,86.53333,107.67333,37022.78481,24476.59574,22448.19277,17,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 18:00:00,14.20667,65.69167,0.076,3.62133,3.67783,41747.8481,26987.84195,25507.46988,18,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 19:00:00,13.52333,69.695,0.0755,0.05733,0.10083,41498.73418,26857.75076,25545.06024,19,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 20:00:00,13.41167,68.645,0.07517,0.05867,0.09767,41096.70886,26782.37082,25642.40964,20,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 21:00:00,13.125,66.96167,0.07533,0.0575,0.09217,39461.26582,25874.77204,25002.40964,21,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 22:00:00,12.87667,68.675,0.07467,0.07683,0.115,35830.88607,23548.93617,22839.51807,22,Monday,1,Winter,"(10.821, 18.039]"
2017-01-02 23:00:00,12.47333,71.71667,0.07483,0.05867,0.12283,30112.40506,20373.25228,19941.20482,23,Monday,1,Winter,"(10.821, 18.039]"
2017-01-03 00:00:00,11.84,75.53333,0.07483,0.075,0.1405,25269.87342,17369.60486,17032.28916,0,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 01:00:00,12.13167,72.56667,0.0765,0.06033,0.15133,22636.96202,15217.02128,15190.36145,1,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 02:00:00,11.78833,73.88333,0.07683,0.06833,0.1465,21371.13924,14075.37994,14231.3253,2,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 03:00:00,12.20667,73.93333,0.07617,0.07217,0.1565,20557.97468,13662.61398,13708.91566,3,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 04:00:00,11.44333,76.35,0.0795,0.06967,0.15017,20116.4557,13627.96353,13591.3253,4,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 05:00:00,10.845,79.78333,0.07817,0.064,0.15017,21034.93671,14033.43465,14056.86747,5,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 06:00:00,11.09667,77.66667,0.07817,0.07867,0.14133,24105.31645,15663.82979,14605.30121,6,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 07:00:00,9.67,81.46667,0.07867,0.063,0.15717,24204.55696,16228.57143,13002.40964,7,Tuesday,1,Winter,"(3.566, 10.821]"
2017-01-03 08:00:00,8.57167,84.16667,0.08083,10.17933,7.03767,25145.31646,16824.92401,12197.59036,8,Tuesday,1,Winter,"(3.566, 10.821]"
2017-01-03 09:00:00,9.21833,85.05,0.08283,124.61667,36.76167,28354.43038,18807.29484,13714.69879,9,Tuesday,1,Winter,"(3.566, 10.821]"
2017-01-03 10:00:00,13.41833,75.48333,0.08083,281.51667,42.80333,31190.88608,20346.50456,14776.86747,10,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 11:00:00,14.90333,66.10667,0.08017,403.46667,44.68667,33065.31646,21312.46201,15813.9759,11,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 12:00:00,15.25333,64.24333,0.07433,472.8,44.855,33998.98734,21768.99696,16525.3012,12,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 13:00:00,15.44333,63.03667,0.07483,489.25,44.85333,33623.29114,21546.50456,16825.06024,13,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 14:00:00,15.42167,64.19,0.074,447.35,43.79333,32410.12658,21604.25532,16531.08434,14,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 15:00:00,15.40833,64.98,0.075,356.03333,79.125,32293.67089,21406.07903,16480.96386,15,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 16:00:00,15.19,67.07833,0.075,222.0,230.43333,32090.12658,21168.38906,16620.72289,16,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 17:00:00,14.775,66.215,0.075,84.52333,105.85667,37828.86076,24688.7538,22138.79518,17,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 18:00:00,13.65833,72.76,0.07533,3.86217,3.92617,42768.60759,27244.3769,25638.55422,18,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 19:00:00,11.26667,80.03333,0.076,0.0635,0.09817,42546.83544,27134.3465,25804.33735,19,Tuesday,1,Winter,"(10.821, 18.039]"
2017-01-03 20:00:00,10.1,82.85,0.07583,0.07267,0.09217,42245.06329,27093.61702,26079.03614,20,Tuesday,1,Winter,"(3.566, 10.821]"
2017-01-03 21:00:00,9.32,83.71667,0.07383,0.05883,0.08717,40194.43038,26292.40122,25181.68675,21,Tuesday,1,Winter,"(3.566, 10.821]"
2017-01-03 22:00:00,8.93833,83.86667,0.0735,0.06017,0.09467,35961.51899,23825.53192,23210.60241,22,Tuesday,1,Winter,"(3.566, 10.821]"
2017-01-03 23:00:00,8.49167,84.6,0.075,0.05983,0.09383,30484.05064,20431.61094,19941.20482,23,Tuesday,1,Winter,"(3.566, 10.821]"
2017-01-04 00:00:00,8.52333,82.83333,0.07567,0.05367,0.107,26271.39241,17599.3921,17273.25301,0,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 01:00:00,8.22333,81.86667,0.07517,0.0635,0.0885,23247.59494,15102.73556,15411.08434,1,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 02:00:00,7.955,81.56667,0.076,0.07033,0.11567,22007.0886,13888.7538,14392.28916,2,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 03:00:00,7.715,80.9,0.07583,0.0605,0.11433,21329.62025,13419.45289,13929.63856,3,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 04:00:00,6.592,83.7,0.086,0.06333,0.10267,20240.0,13294.83283,13781.20482,4,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 05:00:00,5.98583,86.75,0.08517,0.06767,0.12117,21350.88608,13946.50456,14221.68675,5,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 06:00:00,5.49133,87.33333,0.08533,0.05317,0.1235,24277.46836,15483.28268,14893.49398,6,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 07:00:00,5.43567,87.36667,0.08867,0.06667,0.126,24287.59494,15868.08511,13051.56627,7,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 08:00:00,4.9695,87.41667,0.08733,12.006,7.49983,25282.02532,16550.75988,11958.55422,8,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 09:00:00,5.24033,86.26667,0.08767,132.2,33.42,28268.35443,19106.99088,13893.9759,9,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 10:00:00,6.7595,82.01667,0.0905,283.75,39.8,30143.79747,21150.75988,15226.0241,10,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 11:00:00,9.36,77.28333,0.08983,408.3,39.41167,32812.1519,21882.06687,16279.51807,11,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 12:00:00,12.80667,66.39167,0.08633,487.56667,37.12333,34139.74684,22043.769,16597.59036,12,Wednesday,1,Winter,"(10.821, 18.039]"
2017-01-04 13:00:00,15.695,59.225,0.08533,502.01667,39.465,33335.6962,21852.88754,16872.28916,13,Wednesday,1,Winter,"(10.821, 18.039]"
2017-01-04 14:00:00,17.49,53.12,0.07883,451.61667,44.44333,32525.56962,21582.97872,16561.92771,14,Wednesday,1,Winter,"(10.821, 18.039]"
2017-01-04 15:00:00,17.275,59.46667,0.075,363.13333,99.94667,32316.96203,21574.46808,16238.07229,15,Wednesday,1,Winter,"(10.821, 18.039]"
2017-01-04 16:00:00,17.36333,60.99667,0.0765,224.66667,244.73333,31615.18987,21005.47113,16069.39759,16,Wednesday,1,Winter,"(10.821, 18.039]"
2017-01-04 17:00:00,16.555,64.88333,0.07417,81.02833,100.63667,37109.87342,24446.80851,21834.21687,17,Wednesday,1,Winter,"(10.821, 18.039]"
2017-01-04 18:00:00,13.7,74.38333,0.07767,3.90317,3.95783,43216.20253,27463.82979,25584.57831,18,Wednesday,1,Winter,"(10.821, 18.039]"
2017-01-04 19:00:00,12.93,75.68833,0.0825,0.0725,0.08667,42815.18987,27265.04559,25706.0241,19,Wednesday,1,Winter,"(10.821, 18.039]"
2017-01-04 20:00:00,13.48833,67.88,0.08617,0.06533,0.08933,42382.78481,27198.17629,25846.74699,20,Wednesday,1,Winter,"(10.821, 18.039]"
2017-01-04 21:00:00,12.15667,70.9,0.084,0.05917,0.105,40226.83544,26196.35258,25257.83133,21,Wednesday,1,Winter,"(10.821, 18.039]"
2017-01-04 22:00:00,10.63333,75.6,0.084,0.07267,0.10983,36415.18987,23878.41945,23161.44578,22,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-04 23:00:00,9.88333,77.2,0.08433,0.06767,0.126,30938.73418,20648.02432,20126.26506,23,Wednesday,1,Winter,"(3.566, 10.821]"
2017-01-05 00:00:00,8.99833,78.98333,0.08567,0.06183,0.11867,25979.74684,17604.25532,17222.16868,0,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 01:00:00,8.255,80.13333,0.08567,0.08067,0.12,22892.1519,15351.97568,15485.30121,1,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 02:00:00,7.79333,80.83333,0.08533,0.078,0.13333,21503.79747,13859.57447,14428.91566,2,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 03:00:00,7.545,79.55,0.08283,0.06967,0.15083,21075.44304,13456.53495,13947.95181,3,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 04:00:00,7.03283,78.68333,0.0855,0.07283,0.126,20864.81013,13435.86626,13815.90361,4,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 05:00:00,7.07,76.63333,0.08417,0.06483,0.14217,21619.24051,14100.30395,14255.42169,5,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 06:00:00,6.90417,73.95,0.085,0.06583,0.11583,23991.89874,15520.36474,14994.69879,6,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 07:00:00,6.05133,79.9,0.08717,0.06667,0.131,24311.89874,15889.9696,12842.40964,7,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 08:00:00,5.746,82.11667,0.08567,12.5,7.68633,25332.65823,16802.43161,11999.03614,8,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 09:00:00,6.192,74.8,0.08383,136.53333,29.81333,28410.12658,18827.35562,13608.6747,9,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 10:00:00,8.23833,65.66,0.08567,287.43333,38.325,30741.26582,20322.18845,14911.80723,10,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 11:00:00,11.195,61.315,0.085,408.66667,44.965,32541.77215,21141.03344,16002.89157,11,Thursday,1,Winter,"(10.821, 18.039]"
2017-01-05 12:00:00,14.71667,60.07333,0.08417,478.66667,49.57,33379.24051,21782.37082,16482.89157,12,Thursday,1,Winter,"(10.821, 18.039]"
2017-01-05 13:00:00,16.65667,58.47167,0.08317,488.86667,56.675,33581.77215,21709.42249,17116.14458,13,Thursday,1,Winter,"(10.821, 18.039]"
2017-01-05 14:00:00,17.565,56.485,0.084,445.01667,63.795,32695.6962,21616.41338,16943.61446,14,Thursday,1,Winter,"(10.821, 18.039]"
2017-01-05 15:00:00,18.21833,53.33333,0.08783,335.35,133.53333,31992.91139,21481.45897,16260.24096,15,Thursday,1,Winter,"(18.039, 25.258]"
2017-01-05 16:00:00,17.19833,51.955,0.077,189.46667,209.98333,31713.41772,21135.56231,16006.74699,16,Thursday,1,Winter,"(10.821, 18.039]"
2017-01-05 17:00:00,16.02833,57.43,0.0765,61.58,72.49333,37397.46835,24491.79331,21768.6747,17,Thursday,1,Winter,"(10.821, 18.039]"
2017-01-05 18:00:00,14.16333,63.795,0.08783,5.0655,5.31533,43572.65823,27285.10638,25725.3012,18,Thursday,1,Winter,"(10.821, 18.039]"
2017-01-05 19:00:00,12.51167,69.78667,0.07533,0.06333,0.1045,43395.44304,27177.5076,25625.06024,19,Thursday,1,Winter,"(10.821, 18.039]"
2017-01-05 20:00:00,11.2,75.35,0.079,0.05567,0.11267,42954.93671,27000.6079,25720.48193,20,Thursday,1,Winter,"(10.821, 18.039]"
2017-01-05 21:00:00,11.44667,79.9,0.08583,0.05567,0.1165,40561.01266,25939.20973,24989.87952,21,Thursday,1,Winter,"(10.821, 18.039]"
2017-01-05 22:00:00,10.53167,82.11667,0.086,0.0605,0.122,36883.03798,24014.58967,23294.45783,22,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-05 23:00:00,9.53667,83.71667,0.08533,0.05567,0.146,31877.46835,20868.69301,20491.56626,23,Thursday,1,Winter,"(3.566, 10.821]"
2017-01-06 00:00:00,8.87333,85.46667,0.08383,0.05983,0.14167,27172.65823,17880.85106,17337.83132,0,Friday,1,Winter,"(3.566, 10.821]"
2017-01-06 01:00:00,8.50833,86.31667,0.08567,0.07017,0.144,23968.6076,15595.13678,15429.39759,1,Friday,1,Winter,"(3.566, 10.821]"
2017-01-06 02:00:00,8.07667,87.2,0.0835,0.07333,0.148,22291.64557,14458.96656,14511.80723,2,Friday,1,Winter,"(3.566, 10.821]"
2017-01-06 03:00:00,8.33,87.0,0.0875,0.05883,0.15283,21861.26582,13959.87842,14093.49398,3,Friday,1,Winter,"(3.566, 10.821]"
2017-01-06 04:00:00,8.02,88.18333,0.087,0.05983,0.18033,21453.16456,13863.82979,13935.42169,4,Friday,1,Winter,"(3.566, 10.821]"
2017-01-06 05:00:00,8.34167,88.55,0.0825,0.055,0.14983,21987.8481,14502.73556,14397.10843,5,Friday,1,Winter,"(3.566, 10.821]"
2017-01-06 06:00:00,8.67667,86.63333,0.084,0.06517,0.15183,23874.43038,15910.6383,14864.57831,6,Friday,1,Winter,"(3.566, 10.821]"
2017-01-06 07:00:00,9.37333,82.65,0.084,0.06767,0.1385,23613.16456,16042.55319,12639.03614,7,Friday,1,Winter,"(3.566, 10.821]"
2017-01-06 08:00:00,8.96167,82.61667,0.085,11.87067,9.49083,24894.17722,16798.17629,11934.45783,8,Friday,1,Winter,"(3.566, 10.821]"
2017-01-06 09:00:00,10.06833,79.26667,0.08533,92.36667,76.355,28254.17722,18829.17933,13562.40964,9,Friday,1,Winter,"(3.566, 10.821]"
2017-01-06 10:00:00,11.36667,74.03333,0.08433,134.1,132.58333,31364.05063,20579.93921,14845.30121,10,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 11:00:00,12.48667,71.57167,0.08667,214.93333,188.21667,33263.79747,21993.92097,15959.51807,11,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 12:00:00,14.395,66.94,0.08517,257.65,219.15,32281.51899,21716.71733,16589.87952,12,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 13:00:00,15.365,64.78167,1.5475,240.05,223.58333,32583.29114,21751.36778,16673.73494,13,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 14:00:00,15.71,62.37167,0.08517,253.0,245.0,32166.07595,21518.54104,16183.13253,14,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 15:00:00,15.47833,65.99833,0.08417,161.91667,164.06667,31565.56962,21631.00304,16007.71084,15,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 16:00:00,15.28,67.58333,0.082,117.03333,118.16667,31766.07595,21275.98784,15804.33735,16,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 17:00:00,14.95667,70.25667,0.08483,41.08333,41.47167,37334.68355,24172.64438,21239.51807,17,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 18:00:00,14.13333,75.38333,0.08567,4.0305,4.07967,42924.55696,27182.97872,24909.87952,18,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 19:00:00,13.55667,75.13333,0.08567,0.05567,0.10617,42248.10126,26770.82067,25290.60241,19,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 20:00:00,13.065,75.56667,0.0855,0.05433,0.12667,41920.0,26558.05471,25526.74699,20,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 21:00:00,12.51833,77.41667,0.08617,0.0545,0.1285,40153.92405,25858.96656,24779.75904,21,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 22:00:00,12.43667,77.76667,0.086,0.05,0.13283,36515.44304,23753.19149,22814.45783,22,Friday,1,Winter,"(10.821, 18.039]"
2017-01-06 23:00:00,12.46667,75.5,0.08567,0.052,0.1405,31635.44304,20748.32827,20215.90362,23,Friday,1,Winter,"(10.821, 18.039]"
2017-01-07 00:00:00,12.21333,75.81667,0.08467,0.05733,0.13417,27193.92405,17795.13678,17398.55422,0,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 01:00:00,11.64667,77.88333,0.08767,0.05217,0.1365,23961.51899,15609.72644,15515.18072,1,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 02:00:00,10.71667,81.13333,0.08783,0.04717,0.13667,22588.35443,14382.97872,14618.79518,2,Saturday,1,Winter,"(3.566, 10.821]"
2017-01-07 03:00:00,10.47667,81.36667,0.08667,0.05883,0.13967,21849.11392,13868.0851,14213.01205,3,Saturday,1,Winter,"(3.566, 10.821]"
2017-01-07 04:00:00,9.52,84.15,0.08767,0.05433,0.149,21502.78481,13803.03951,14046.26506,4,Saturday,1,Winter,"(3.566, 10.821]"
2017-01-07 05:00:00,9.32833,83.9,0.087,0.05617,0.136,22133.67089,14325.22796,14735.42168,5,Saturday,1,Winter,"(3.566, 10.821]"
2017-01-07 06:00:00,8.71,84.36667,0.08717,0.05917,0.15517,23711.3924,15237.08206,15175.90361,6,Saturday,1,Winter,"(3.566, 10.821]"
2017-01-07 07:00:00,8.42667,85.25,0.08883,0.04883,0.14833,23095.6962,14060.18237,12689.15663,7,Saturday,1,Winter,"(3.566, 10.821]"
2017-01-07 08:00:00,8.41333,84.63333,0.0905,15.252,13.02883,24576.20253,15088.1459,11748.43374,8,Saturday,1,Winter,"(3.566, 10.821]"
2017-01-07 09:00:00,8.64333,83.0,0.08767,108.19,43.90333,29736.70886,16733.7386,13638.55422,9,Saturday,1,Winter,"(3.566, 10.821]"
2017-01-07 10:00:00,10.28667,78.83333,0.09067,270.11667,54.195,32463.79747,19590.27356,15404.33735,10,Saturday,1,Winter,"(3.566, 10.821]"
2017-01-07 11:00:00,12.74667,72.0,0.09117,382.83333,67.73833,33772.1519,21085.10638,16535.90362,11,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 12:00:00,14.575,67.71833,0.086,397.86667,95.63333,34033.41772,21545.89666,17221.20482,12,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 13:00:00,14.92833,61.94667,0.07767,255.06667,200.21667,33486.58228,21164.74164,17361.92771,13,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 14:00:00,14.79167,63.27833,0.0765,177.86667,168.35,32428.35443,20584.19453,17477.59036,14,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 15:00:00,15.155,66.37167,0.07533,232.93333,189.96667,31467.34177,19925.83586,17374.45783,15,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 16:00:00,15.33667,65.35833,0.0765,214.43333,242.5,30612.65823,19682.67477,17395.66265,16,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 17:00:00,14.74833,67.66167,0.074,75.825,90.17167,36232.91139,23131.91489,22381.68674,17,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 18:00:00,13.70167,72.59167,0.07617,4.86533,4.9445,41583.79747,26057.14286,25825.54217,18,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 19:00:00,11.99333,79.13333,0.07733,0.068,0.09383,40846.58228,25735.56231,25863.13253,19,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 20:00:00,12.47,78.75,0.07717,0.05233,0.11183,40649.11392,25136.77812,25529.63856,20,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 21:00:00,13.07,77.16667,0.07667,0.047,0.13417,39227.34177,24534.95441,25062.16867,21,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 22:00:00,13.02333,78.31667,0.078,0.0625,0.134,36025.31646,22848.63222,23450.60241,22,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-07 23:00:00,13.53,78.58333,0.0815,0.0575,0.13733,31526.07595,20131.30699,20999.51807,23,Saturday,1,Winter,"(10.821, 18.039]"
2017-01-08 00:00:00,14.27333,77.91667,0.088,0.04467,0.12367,26633.92405,17421.2766,17871.80723,0,Sunday,1,Winter,"(10.821, 18.039]"
2017-01-08 01:00:00,14.44167,76.61667,0.091,0.0465,0.137,23640.50633,15492.40122,16057.83133,1,Sunday,1,Winter,"(10.821, 18.039]"
